Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Henan,Mainland China,2020-03-03 09:43:02,1272,22,1231,33.882,113.614
,South Korea,2020-03-03 09:43:02,5186,28,30,36.0,128.0
,Croatia,2020-03-03 09:53:08,9,0,0,45.1667,15.5
,Mexico,2020-03-03 10:03:04,5,0,1,23.0,-102.0
Guangdong,Mainland China,2020-03-03 10:23:10,1350,7,1101,23.3417,113.4244
Jiangsu,Mainland China,2020-03-03 11:03:09,631,0,562,32.9711,119.455
Hubei,Mainland China,2020-03-03 11:43:02,67217,2835,36208,30.9756,112.2707
Tianjin,Mainland China,2020-03-03 11:43:02,136,3,124,39.3054,117.323
Hong Kong,Hong Kong,2020-03-03 11:53:01,100,2,37,22.3,114.2
Macau,Macau,2020-03-03 12:33:02,10,0,9,22.1667,113.55
Zhejiang,Mainland China,2020-03-03 12:33:02,1213,1,1093,29.1832,120.0934
,Malaysia,2020-03-03 12:33:02,36,0,22,2.5,112.5
Hunan,Mainland China,2020-03-03 13:03:04,1018,4,906,27.6104,111.7088
Heilongjiang,Mainland China,2020-03-03 13:03:04,480,13,366,47.862,127.7615
Fujian,Mainland China,2020-03-03 13:43:03,296,1,260,26.0789,117.9874
Gansu,Mainland China,2020-03-03 13:43:03,91,2,86,36.0611,103.8343
,Iran,2020-03-03 14:23:03,2336,77,291,32.0,53.0
Anhui,Mainland China,2020-03-03 14:33:03,990,6,936,31.8257,117.2264
Liaoning,Mainland China,2020-03-03 14:33:03,125,1,106,41.2956,122.6085
,Norway,2020-03-03 14:33:03,32,0,0,60.472,8.4689
" Norfolk County, MA",US,2020-03-03 14:33:03,1,0,0,42.1767,-71.1449
"Westchester County, NY",US,2020-03-03 14:43:03,1,0,0,41.122,-73.7949
New South Wales,Australia,2020-03-03 15:13:26,13,0,4,-33.8688,151.2093
,Austria,2020-03-03 15:13:26,21,0,0,47.5162,14.5501
,Belgium,2020-03-03 15:13:26,13,0,1,50.8333,4.0
,Czech Republic,2020-03-03 15:13:26,5,0,0,49.8175,15.473
,Denmark,2020-03-03 15:13:26,6,0,0,56.2639,9.5018
