,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
216,2020-09-18,41.05187176533891,81.29598139446975,118.69403670492515,4.616463012997001,26.148082101274543,-6.98642062763835
217,2020-09-19,42.05156247990143,81.54631139220189,119.4440094600391,4.866450606478183,26.897632461600004,-7.735705133595486
218,2020-09-20,41.55131126038271,85.296820199449,119.4440203123967,3.866515595837838,26.148189596653733,-6.985015003721463
219,2020-09-21,41.59740568793643,80.09147427495019,116.454067489829,6.618849024076761,27.550790346916823,-8.064883137716519
220,2020-09-22,46.14378778928983,85.46929387754778,132.12996278666387,9.538006778597907,30.535431448883607,-8.810164925186118
221,2020-09-23,46.64348654971516,85.469491181527,134.37985934742656,8.788056288749285,28.53687643719186,-8.559628120144614
222,2020-09-24,42.643274955691076,83.71972237472572,129.63011148963656,2.2884618198795925,22.291405717001084,-6.559050845965126
223,2020-09-25,42.642985465341056,84.72009325257433,123.3804398289199,4.788310100856798,27.287926181153633,-7.308313136357517
224,2020-09-26,43.64267617990229,84.97042325030236,124.13041258402743,5.038297694338027,28.037476541476938,-8.05759764231472
225,2020-09-27,43.14242496038908,88.72093205755759,124.13042343640514,4.038362683697032,27.288033676533395,-7.306907512441163
226,2020-09-28,43.1885193879261,83.51558613304825,121.14047061380329,6.790696111915108,28.690634426772917,-8.38677564642988
227,2020-09-29,47.73490148929037,88.89340573563813,136.8163659106612,9.709853866452777,31.67527552875196,-9.13205743390537
228,2020-09-30,48.234600249711974,88.89360303961669,139.06626247140935,8.959903376603098,29.676720517060083,-8.881520628862832
229,2020-10-01,44.23438865568714,87.1438342328071,134.31651461360423,2.4603089077389857,23.431249796875264,-6.880943354685646
230,2020-10-02,44.234099165337085,88.14420511067226,128.06684295291788,4.960157188706064,28.42777026101423,-7.630205645072029
231,2020-10-03,45.233789879903135,88.39453510840283,128.81681570801572,5.2101447821978715,29.177320621353868,-8.379490151033952
232,2020-10-04,44.733538660388376,92.14504391565688,128.81682656039612,4.210209771553937,28.427877756406875,-7.628800021159316
233,2020-10-05,44.77963308792767,86.93969799114485,125.82687373780306,6.96254319977275,29.83047850664633,-8.708668155149061
234,2020-10-06,49.32601518929546,92.31751759374885,141.5027690346637,9.881700954316011,32.81511960863378,-9.45394994262448
235,2020-10-07,49.8257139497111,92.31771489771978,143.75266559540117,9.131750464458287,30.8165645969327,-9.203413137580021
236,2020-10-08,45.82550235570024,90.5679460909283,139.00291773763973,2.63215599560377,24.57109387675518,-7.202835863405301
237,2020-10-09,45.82521286533815,91.5683169687651,132.75324607689703,5.132004276570308,29.56761434089558,-7.952098153793383
238,2020-10-10,46.82490357990399,91.81864696650331,133.50321883200402,5.381991870057717,30.3171647012308,-8.701382659753184
239,2020-10-11,46.32465236038862,95.56915577375494,133.5032296843767,4.382056859417763,29.56772183628757,-7.9506925298791655
240,2020-10-12,46.37074678793282,90.36380984925137,130.5132768617941,7.134390287642712,30.97032258653522,-9.030560663870045
241,2020-10-13,50.917128889284314,95.74162945183754,146.18917215861558,10.053548042168964,33.95496368850681,-9.77584245134176
242,2020-10-14,51.416827649710235,95.74182675582288,148.43906871939294,9.303597552313477,31.95640867680531,-9.525305646297209
243,2020-10-14,47.41661605569819,93.99205794902367,143.68932086162104,2.8040030834614567,25.710937956630545,-7.524728372124037
244,2020-10-15,47.416326565341414,94.99242882688148,137.43964920090735,5.303851364425655,30.70745842077241,-8.273990662510366
